location_iso,location_code,target_end_date,epiweek,hospitalizations
US-CO,08,2024-01-20,202403,197.0
US-CO,08,2024-01-27,202404,229.0
US-CO,08,2024-02-03,202405,196.0
US-CO,08,2024-02-10,202406,196.0
US-CO,08,2024-02-17,202407,137.0
US-CO,08,2024-02-24,202408,129.0
US-CO,08,2024-03-02,202409,93.0
US-CO,08,2024-03-09,202410,80.0
US-CO,08,2024-03-16,202411,96.0
US-CO,08,2024-03-23,202412,97.0
US-CO,08,2024-03-30,202413,68.0
US-CO,08,2024-04-06,202414,49.0
US-CO,08,2024-04-13,202415,55.0
US-CO,08,2024-04-20,202416,26.0
US-CO,08,2024-04-27,202417,23.0
US-CO,08,2024-05-04,202418,23.0
US-CO,08,2024-05-11,202419,12.0
US-CO,08,2024-05-18,202420,6.0
US-CO,08,2024-05-25,202421,11.0
US-CO,08,2024-06-01,202422,10.0
US-CO,08,2024-06-08,202423,4.0
US-CO,08,2024-06-15,202424,3.0
US-CO,08,2024-06-22,202425,3.0
US-CO,08,2024-06-29,202426,3.0
US-CO,08,2024-07-06,202427,3.0
